cluster_id,event_id,n_pixel_triggered,n_tile_triggered,n_pixel_time_samples,n_tile_time_samples,pixel_charge,tile_charge,charge_ratio_pixel_over_tile,pixel_centroid_x,pixel_centroid_y,tile_centroid_x,tile_centroid_y,pixel_width_x,pixel_width_y,tile_width_x,tile_width_y,pixel_span_x,pixel_span_y,tile_span_x,tile_span_y,pixel_time_mean,pixel_time_width_moment,pixel_time_gauss_mean,pixel_time_gauss_sigma,pixel_time_gauss_amp,pixel_time_gauss_baseline,pixel_time_gauss_success,tile_time_mean,tile_time_width_moment,tile_time_gauss_mean,tile_time_gauss_sigma,tile_time_gauss_amp,tile_time_gauss_baseline,tile_time_gauss_success,pixel_time_min,pixel_time_max,tile_time_min,tile_time_max,dominant_segment_id,drift_length,matched_tile_global_rows
17,0,2,1,9,7,33679.16244506836,34084.85626792908,0.9880975345862778,-803.5807515114675,-461.25,-805.0,-465.0,0.236599225264388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-2757.6460959106953,0.8389796414201702,-2757.6340403528793,0.8901573881054974,15798.137966700668,-277.43159592805216,True,-2757.6372585365,0.8556686773780812,-2757.633063576301,0.8720351709742509,15760.268283400494,-50.47613712484686,True,-2759.94580078125,-2755.94580078125,-2759.94580078125,-2753.94580078125,6753,-27.752456602680727,910
18,0,4,1,9,5,5587.03678894043,5710.920097351074,0.9783076446003673,-804.5115778454089,-461.72052105209747,-805.0,-465.0,0.24973176308929557,0.11777294078786775,0.0,0.0,0.5,0.5,0.0,0.0,-2734.1771718663485,0.7271663876546504,-2734.1613565620205,0.8761539445156237,3170.563409197354,-310.2460392307175,True,-2734.1485340219606,0.7986626765531625,-2734.1554613712387,0.7566986790730577,2897.362550542045,49.9634469363659,True,-2735.44580078125,-2732.44580078125,-2737.44580078125,-2732.44580078125,6751,-31.567016601562496,911
19,0,2,2,5,8,4915.276138305664,4846.333470821381,1.014225737436223,-940.1761782500141,-516.75,-943.3199680704496,-515.0,0.17737312147555692,0.0,3.738691216347712,0.0,0.5,0.0,10.0,0.0,-2656.2531081304505,0.5379541576720696,,,,,False,-2656.2719611534962,0.5610151575013425,-2656.2690695636297,0.5578492966760493,3446.670594426019,3.856538303119686,True,-2657.44580078125,-2655.44580078125,-2657.44580078125,-2653.44580078125,9028,451.9994511601309,350;386
20,0,3,1,7,8,3891.9579467773438,5147.692914962769,0.7560586870799174,-822.6713939673091,-385.7300340410325,-825.0,-385.0,0.1820002966208162,0.09789964231927589,0.0,0.0,0.5,0.5,0.0,0.0,-2651.407164945219,0.8789149301058672,-2651.4116965092317,2.8441609781284547,8091.614804896011,-6530.836442459575,True,-2651.512325140883,1.2950180346772202,-2651.3390508067005,1.128063403288887,1595.708005911427,79.60374134344721,True,-2652.94580078125,-2649.94580078125,-2654.94580078125,-2647.94580078125,9451,651.9551391601562,850
21,0,2,2,5,10,4387.9276123046875,4895.036060333252,0.8964035317047203,-933.75,-415.8231774059898,-935.0,-415.0,0.0,0.17673078466270226,0.0,0.0,0.0,0.5,0.0,0.0,-2640.7091172432124,0.5389012296590192,,,,,False,-2640.6460932692744,0.7164996414847287,-2640.6833522457932,0.5633895604903092,3241.9109215801386,53.02385752355085,True,-2641.94580078125,-2639.94580078125,-2642.94580078125,-2637.94580078125,3338,-33.798675537109375,403;404
22,0,3,2,8,15,1916.5893096923828,3554.595500946045,0.5391863319419293,-832.8402062787854,-579.8328130015576,-835.0,-578.3677638868922,0.19226535481053184,0.18587228828367489,0.0,4.726077154582525,0.5,0.5,0.0,10.0,-2519.030822525942,1.0518196663829225,,,,,False,-2519.5056933705673,1.7578876943983146,-2519.760125990605,5.915351480237265,1371.5237551251378,-1037.7072839706657,True,-2520.44580078125,-2517.44580078125,-2522.44580078125,-2515.44580078125,8306,-27.7109375,789;792
23,0,2,1,10,8,3785.2683868408203,5273.532600402832,0.7177860977955599,-748.25,-448.11197663439157,-745.0,-445.0,0.0,0.22352009607713924,0.0,0.0,0.0,0.5,0.0,0.0,-2445.316889433249,1.4664705215944196,-2445.575679315063,127.78020604810195,2080962.3954343891,-2080120.3928666438,True,-2445.51831029249,1.5997476195322349,-2445.4382662881167,2.1024189419821546,1391.771806791861,-200.80790946068646,True,-2447.44580078125,-2442.44580078125,-2449.44580078125,-2442.44580078125,8803,662.6355590820312,1114
24,0,3,1,9,8,3916.1790466308594,4501.851516723633,0.869904089924535,-1016.6541989207823,-316.22689509411447,-1015.0,-315.0,0.19678082434421107,0.10496959686870254,0.0,0.0,0.5,0.5,0.0,0.0,-2430.943621465245,1.0206498742091674,-2430.9449310536056,3.3996361006951457,6811.67977092229,-5480.126229682713,True,-2431.0320392192984,1.39713255316493,-2430.9495220551066,1.1823584036023551,1310.703038007924,77.7337102786867,True,-2432.94580078125,-2428.94580078125,-2434.94580078125,-2427.94580078125,8985,486.1341552734375,126
25,0,3,1,5,7,1132.1355285644531,3019.0583114624023,0.3749962444468513,-1022.3298199190534,-570.8176324836041,-1025.0,-575.0,0.18313585134819568,0.17100318407441187,0.0,0.0,0.5,0.5,0.0,0.0,-2427.8870611794023,0.8586165020981747,,,,,False,-2428.446057369334,1.5302888757906576,-2428.6031505833903,1.6653930538426802,703.9852093849348,31.268943841687022,True,-2428.94580078125,-2426.94580078125,-2430.94580078125,-2424.94580078125,8438,-25.9119873046875,65
26,0,2,2,8,13,3456.0015563964844,4419.344165802002,0.7820168393174478,-1030.0179691763592,-599.75,-1030.7813332969047,-595.0,0.24935338117011568,0.0,4.938574518942478,0.0,0.5,0.0,10.0,0.0,-2363.451624613806,0.9707374164268916,-2363.260153426501,1.1188665825189597,548.3911975353176,83.39189149769763,True,-2363.38680110353,1.3451335130605775,-2363.4522808655547,1.2457411627004684,615.7122722170831,50.096546628685374,True,-2365.44580078125,-2361.94580078125,-2366.94580078125,-2359.94580078125,8546,58.2803955078125,35;64
